Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	Ä§·¨ÊôÐÔË÷Òý1	Ä§·¨ÊôÐÔË÷Òý2	Ä§·¨ÊôÐÔË÷Òý3	Ä§·¨ÊôÐÔË÷Òý4	Ä§·¨ÊôÐÔË÷Òý5	Ä§·¨ÊôÐÔË÷Òý6	ËùÔÚÌ××°	À©Õ¹Ì××°	À©Õ¹Ì××°ÐòºÅ	À©Õ¹Ì××°Òþ²ØÊôÐÔ1	À©Õ¹Ì××°Òþ²ØÊôÐÔ2	¿ÉÈÛÁ¶ÊôÐÔÊýÁ¿	¿ÉÈÛÁ¶ÎÆ¸ÖÆ·ÖÊ	»ù´¡±ø¼×Öµ	ÊÇ·ñ¿ÉÉýÐÇ×°±¸	¿ÉÏâÇ¶ÐÇ³½Ê¯ÊýÁ¿	×°±¸Í»ÆÆ×£¸£Öµ	×¢ÁéÎ»ÖÃÊýÁ¿	ÏÔÊ¾Í¼±êID	
Thanh C©u Th¸i Cùc Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap04-3.spr	28	2	2	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Thanh C©u(2)	4	4	10	0	30	360	360	31	85	85																39	8	36	30									951	890	970	1173	1330	1290	102	43	2			2	1	2						1096
Thanh C©u Th¸i Cùc Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Thanh C©u(3)	0	4	10	0																						39	8	36	30									950	870	971	1013	1330	1290	102	43	3			2	1	2						1097
Thanh C©u Th¸i Cùc Tô	0	8	1	\Spr\item\equip\bangle\obj-bangle13.spr	34	1	2	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Thanh C©u(4)	2	4	10	0	30	135	135	31	80	80																39	8	36	30									951	910	970	1193	1330	1290	102	43	4			2	1	2						1098
Thanh C©u Th¸i Cùc Ph¸p §¸i	0	6	1	\spr\item\equip\sash\obj-sash20.spr	33	2	1	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Thanh C©u(5)	1	4	10	0	30	160	160	31	80	80																39	8	36	30									951	930	971	1013	1330	1290	102	43	5	1525		2	1	2						1099
Thanh C©u Th¸i Cùc §¹o Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth04-3.spr	24	2	3	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Thanh C©u(6)	3	4	10	0	30	720	720	31	90	90																39	8	36	30									951	850	971	1213	1233	1290	102	43	6			2	1	2						1100
Thanh C©u Th¸i Cùc KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Thanh C©u(7)	4	4	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										39	8	36	30									1054	890	1153	1173	1330	1290	102	43	7			2	1	2						1101
Thanh C©u Th¸i Cùc Lý	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Thanh C©u(8)	0	4	10	0	30	160	160	31	80	80																39	8	36	30									951	870	971	1013	1253	1290	102	43	8	1526		2	1	2						1102
Thanh C©u Th¸i Cùc Ngäc Béi	0	9	1	\spr\item\equip\waist\obj-waist20.spr	36	1	2	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Thanh C©u(9)	2	4	10	0																						39	8	36	30									950	910	970	1193	1330	1290	102	43	9			2	1	2						1103
Thanh C©u Th¸i Cùc H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Thanh C©u(10)	1	4	10	0																						39	8	36	30									950	930	970	1013	1330	1290	102	43	10			2	1	2						1104
Thanh C©u Linh Ch©n Phï	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Thanh C©u(1)	0	4	10	0																						39	8	36	30									950	850	971	1213	993	1290	103	44	1	1528		2	1	2						1105
Thanh C©u Linh Ch©n Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap04-3.spr	28	2	2	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Thanh C©u(2)	2	4	10	0	30	360	360	31	85	85																39	8	36	30									951	890	970	1173	1330	1290	103	44	2			2	1	2						1106
Thanh C©u Linh Ch©n Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Thanh C©u(3)	1	4	10	0																						39	8	36	30									950	870	971	1013	1330	1290	103	44	3			2	1	2						1107
Thanh C©u Linh Ch©n Tô	0	8	1	\spr\item\equip\bangle\obj-bangle14.spr	34	1	2	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Thanh C©u(4)	3	4	10	0	30	135	135	31	80	80																39	8	36	30									951	910	970	1193	1330	1290	103	44	4			2	1	2						1108
Thanh C©u Linh Ch©n Ph¸p §¸i	0	6	0	\spr\item\equip\sash\obj-sash10.spr	32	2	1	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Thanh C©u(5)	4	4	10	0	30	160	160	31	80	80																39	8	36	30									951	930	971	1013	1330	1290	103	44	5	1529		2	1	2						1109
Thanh C©u Linh Ch©n §¹o Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth04-3.spr	24	2	3	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Thanh C©u(6)	0	4	10	0	30	720	720	31	90	90																39	8	36	30									951	850	971	1213	1233	1290	103	44	6			2	1	2						1110
Thanh C©u Linh Ch©n KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Thanh C©u(7)	2	4	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										39	8	36	30									1036	890	1073	1173	1315	1290	103	44	7			2	1	2						1111
Thanh C©u Linh Ch©n Lý	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Thanh C©u(8)	1	4	10	0	30	160	160	31	80	80																39	8	36	30									951	870	971	1013	1253	1290	103	44	8			2	1	2						1112
Thanh C©u Linh Ch©n Ngäc Béi	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Thanh C©u(9)	3	4	10	0																						39	8	36	30									950	910	970	1193	1330	1290	103	44	9	1530		2	1	2						1113
Thanh C©u Linh Ch©n H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Thanh C©u(10)	4	4	10	0																						39	8	36	30									950	930	970	1013	1330	1290	103	44	10			2	1	2						1114
Thanh C©u B¹ch Hång H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Thanh C©u(1)	0	4	10	0																						39	9	36	30									950	850	971	1013	993	1290	104	45	1	1532		2	1	2						1115
Thanh C©u B¹ch Hång §¹o Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap04-3.spr	28	2	2	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Thanh C©u(2)	2	4	10	0	30	360	360	31	85	85																39	9	36	30									951	890	970	1193	1330	1290	104	45	2			2	1	2						1116
Thanh C©u B¹ch Hång Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Thanh C©u(3)	1	4	10	0																						39	9	36	30									950	870	971	1013	1330	1290	104	45	3			2	1	2						1117
Thanh C©u B¹ch Hång Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Thanh C©u(4)	3	4	10	0	30	135	135	31	80	80																39	9	36	30									951	910	970	1213	1330	1290	104	45	4			2	1	2						1118
Thanh C©u B¹ch Hång Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Thanh C©u(5)	4	4	10	0	30	160	160	31	80	80																39	9	36	30									951	930	971	1173	1330	1290	104	45	5	1533		2	1	2						1119
Thanh C©u B¹ch Hång §¹o Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth04-3.spr	24	2	3	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Thanh C©u(6)	0	4	10	0	30	720	720	31	90	90																39	9	36	30									951	850	971	1013	1233	1290	104	45	6			2	1	2						1120
Thanh C©u B¹ch Hång §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Thanh C©u(7)	2	4	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										39	9	36	30									1037	890	1073	1193	1315	1290	104	45	7			2	1	2						1121
Thanh C©u B¹ch Hång Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Thanh C©u(8)	1	4	10	0	30	160	160	31	80	80																39	9	36	30									951	870	971	1013	1253	1290	104	45	8			2	1	2						1122
Thanh C©u B¹ch Hång Béi	0	9	1	\spr\item\equip\waist\obj-waist17.spr	36	1	2	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Thanh C©u(9)	3	4	10	0																						39	9	36	30									950	910	970	1213	1330	1290	104	45	9	1534		2	1	2						1123
Thanh C©u B¹ch Hång H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Thanh C©u(10)	4	4	10	0																						39	9	36	30									950	930	970	1173	1330	1290	104	45	10			2	1	2						1124
Thanh C©u Tö §iÖn H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck18.spr	36	2	1	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Thanh C©u(1)	3	4	10	0																						39	9	36	30									950	850	971	1013	993	1290	105	46	1	1536		2	1	2						1125
Thanh C©u Tö §iÖn §¹o Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap04-3.spr	28	2	2	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Thanh C©u(2)	4	4	10	0	30	360	360	31	85	85																39	9	36	30									951	890	970	1193	1330	1290	105	46	2			2	1	2						1126
Thanh C©u Tö §iÖn Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Thanh C©u(3)	0	4	10	0																						39	9	36	30									950	870	971	1013	1330	1290	105	46	3			2	1	2						1127
Thanh C©u Tö §iÖn Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle13.spr	34	1	2	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Thanh C©u(4)	2	4	10	0	30	135	135	31	80	80																39	9	36	30									951	910	970	1213	1330	1290	105	46	4			2	1	2						1128
Thanh C©u Tö §iÖn TriÒn Yªu	0	6	0	\spr\item\equip\sash\obj-sash09.spr	32	2	1	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Thanh C©u(5)	1	4	10	0	30	160	160	31	80	80																39	9	36	30									951	930	971	1173	1330	1290	105	46	5	1537		2	1	2						1129
Thanh C©u Tö §iÖn §¹o Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth04-3.spr	24	2	3	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Thanh C©u(6)	3	4	10	0	30	720	720	31	90	90																39	9	36	30									951	850	971	1013	1233	1290	105	46	6			2	1	2						1130
Thanh C©u Tö §iÖn KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Thanh C©u(7)	4	4	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										39	9	36	30									1056	890	1153	1193	1330	1290	105	46	7			2	1	2						1131
Thanh C©u Tö §iÖn Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Thanh C©u(8)	0	4	10	0	30	160	160	31	80	80																39	9	36	30									951	870	971	1013	1253	1290	105	46	8			2	1	2						1132
Thanh C©u Tö §iÖn Béi	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Thanh C©u(9)	2	4	10	0																						39	9	36	30									950	910	970	1213	1330	1290	105	46	9	1538		2	1	2						1133
Thanh C©u Tö §iÖn H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Thanh C©u(10)	1	4	10	0																						39	9	36	30									950	930	970	1173	1330	1290	105	46	10			2	1	2						1134
V©n Léc §Þnh ThiÒn Ch©u Liªn	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp V©n Léc(1)	2	4	10	0																						36	80	39	0									951	931	972	1174	994	1291	106	47	1	1456		2	2	24						1135
V©n Léc §Þnh ThiÒn T¨ng M¹o	0	7	0	\spr\item\equip\cap\obj-ma-cap02-3.spr	28	2	2	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp V©n Léc(2)	1	4	10	0	30	360	360	31	85	85																36	80	39	0									952	851	971	1014	1331	1291	106	47	2			2	2	24						1136
V©n Léc §Þnh ThiÒn Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp V©n Léc(3)	3	4	10	0																						36	80	39	0									951	891	972	1194	1331	1291	106	47	3			2	2	24						1137
V©n Léc §Þnh ThiÒn Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp V©n Léc(4)	4	4	10	0	30	135	135	31	80	80																36	80	39	0									952	871	971	1014	1331	1291	106	47	4			2	2	24						1138
V©n Léc §Þnh ThiÒn Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash06.spr	33	2	1	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp V©n Léc(5)	0	4	10	0	30	160	160	31	80	80																36	80	39	0									952	911	972	1214	1331	1291	106	47	5	1457		2	2	24						1139
V©n Léc §Þnh ThiÒn Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth02-3.spr	22	2	3	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp V©n Léc(6)	2	4	10	0	30	720	720	31	90	90																36	80	39	0									952	931	972	1174	1234	1291	106	47	6			2	2	24						1140
V©n Léc §Þnh ThiÒn TriÒn Thñ	0	0	6	\spr\item\equip\bangle\obj-bangle15.spr	9	1	2	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp V©n Léc(7)	1	4	10	0	28	1	1	29	1	1	167	-30	-30	31	99	99										36	80	39	0									1274	851	1074	1014	1331	1291	106	47	7			2	2	24						1141
V©n Léc §Þnh ThiÒn T¨ng Hµi	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp V©n Léc(8)	3	4	10	0	30	160	160	31	80	80																36	80	39	0									952	891	972	1194	1254	1291	106	47	8			2	2	24						1142
V©n Léc §Þnh ThiÒn Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp V©n Léc(9)	4	4	10	0																						36	80	39	0									951	871	971	1014	1331	1291	106	47	9	1458		2	2	24						1143
V©n Léc §Þnh ThiÒn H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp V©n Léc(10)	0	4	10	0																						36	80	39	0									951	911	971	1214	1331	1291	106	47	10			2	2	24						1144
V©n Léc Giíi LuËt PhËt Ch©u	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp V©n Léc(1)	4	4	10	0																						36	80	39	0									951	931	972	1174	994	1291	107	48	1	1459		2	2	24						1145
V©n Léc Giíi LuËt T¨ng M¹o	0	7	0	\spr\item\equip\cap\obj-ma-cap02-3.spr	28	2	2	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp V©n Léc(2)	0	4	10	0	30	360	360	31	85	85																36	80	39	0									952	851	971	1014	1331	1291	107	48	2			2	2	24						1146
V©n Léc Giíi LuËt Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp V©n Léc(3)	2	4	10	0																						36	80	39	0									951	891	972	1194	1331	1291	107	48	3			2	2	24						1147
V©n Léc Giíi LuËt Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp V©n Léc(4)	1	4	10	0	30	135	135	31	80	80																36	80	39	0									952	871	971	1014	1331	1291	107	48	4			2	2	24						1148
V©n Léc Giíi LuËt Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash07.spr	33	2	1	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp V©n Léc(5)	3	4	10	0	30	160	160	31	80	80																36	80	39	0									952	911	972	1214	1331	1291	107	48	5	1460		2	2	24						1149
V©n Léc Giíi LuËt Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth02-3.spr	22	2	3	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp V©n Léc(6)	4	4	10	0	30	720	720	31	90	90																36	80	39	0									952	931	972	1174	1234	1291	107	48	6			2	2	24						1150
V©n Léc Giíi LuËt T¨ng C«n	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp V©n Léc(7)	0	4	10	0	28	69	69	29	128	128	167	-30	-30	31	99	99										36	80	39	0									1037	851	1074	1014	1331	1291	107	48	7			2	2	24						1151
V©n Léc Giíi LuËt T¨ng Hµi	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp V©n Léc(8)	2	4	10	0	30	160	160	31	80	80																36	80	39	0									952	891	972	1194	1254	1291	107	48	8			2	2	24						1152
V©n Léc Giíi LuËt Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist19.spr	36	1	2	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp V©n Léc(9)	1	4	10	0																						36	80	39	0									951	871	971	1014	1331	1291	107	48	9	1461		2	2	24						1153
V©n Léc Giíi LuËt H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp V©n Léc(10)	3	4	10	0																						36	80	39	0									951	911	971	1214	1331	1291	107	48	10			2	2	24						1154
V©n Léc ThiÒn T©m Ch©u Liªn	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp V©n Léc(1)	4	4	10	0																						36	80	39	0									951	931	972	1174	994	1291	108	49	1	1459		2	2	24						1155
V©n Léc ThiÒn T©m T¨ng M¹o	0	7	0	\spr\item\equip\cap\obj-ma-cap02-3.spr	28	2	2	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp V©n Léc(2)	0	4	10	0	30	360	360	31	85	85																36	80	39	0									952	851	971	1014	1331	1291	108	49	2			2	2	24						1156
V©n Léc ThiÒn T©m Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp V©n Léc(3)	2	4	10	0																						36	80	39	0									951	891	972	1194	1331	1291	108	49	3			2	2	24						1157
V©n Léc ThiÒn T©m Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp V©n Léc(4)	1	4	10	0	30	135	135	31	80	80																36	80	39	0									952	871	971	1014	1331	1291	108	49	4			2	2	24						1158
V©n Léc ThiÒn T©m Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash08.spr	33	2	1	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp V©n Léc(5)	3	4	10	0	30	160	160	31	80	80																36	80	39	0									952	911	972	1214	1331	1291	108	49	5	1462		2	2	24						1159
V©n Léc ThiÒn T©m Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth02-3.spr	22	2	3	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp V©n Léc(6)	4	4	10	0	30	720	720	31	90	90																36	80	39	0									952	931	972	1174	1234	1291	108	49	6			2	2	24						1160
V©n Léc ThiÒn T©m Giíi §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp V©n Léc(7)	0	4	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	80	39	0									1037	851	1074	1014	1331	1291	108	49	7			2	2	24						1161
V©n Léc ThiÒn T©m T¨ng Hµi	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp V©n Léc(8)	2	4	10	0	30	160	160	31	80	80																36	80	39	0									952	891	972	1194	1254	1291	108	49	8			2	2	24						1162
V©n Léc ThiÒn T©m Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp V©n Léc(9)	1	4	10	0																						36	80	39	0									951	871	971	1014	1331	1291	108	49	9	1463		2	2	24						1163
V©n Léc ThiÒn T©m H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp V©n Léc(10)	3	4	10	0																						36	80	39	0									951	911	971	1214	1331	1291	108	49	10			2	2	24						1164
V©n Léc Lùc L­îng H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp V©n Léc(1)	0	4	10	0																						36	80	39	1									951	851	972	1014	994	1291	109	50	1	1464		2	2	24						1165
V©n Léc Lùc L­îng Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap14-3.spr	29	2	2	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp V©n Léc(2)	2	4	10	0	30	360	360	31	85	85																36	80	39	1									952	891	971	1194	1331	1291	109	50	2			2	2	24						1166
V©n Léc Lùc L­îng Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp V©n Léc(3)	1	4	10	0																						36	80	39	1									951	871	972	1014	1331	1291	109	50	3			2	2	24						1167
V©n Léc Lùc L­îng Thóc UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp V©n Léc(4)	3	4	10	0	30	135	135	31	80	80																36	80	39	1									952	911	971	1214	1331	1291	109	50	4			2	2	24						1168
V©n Léc Lùc L­îng Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash16.spr	33	2	1	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp V©n Léc(5)	4	4	10	0	30	160	160	31	80	80																36	80	39	1									952	931	972	1174	1331	1291	109	50	5	1465		2	2	24						1169
V©n Léc Lùc L­îng Kh¶i	0	2	4	\spr\item\equip\armor\obj-ma-cloth14-3.spr	23	2	3	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp V©n Léc(6)	0	4	10	0	30	720	720	31	90	90																36	80	39	1									952	851	972	1014	1234	1291	109	50	6			2	2	24						1170
V©n Léc Lùc L­îng Chïy	0	0	4	\spr\item\equip\closeweapon\obj-adha04.spr	13	2	2	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp V©n Léc(7)	2	4	10	0	28	55	55	29	165	165	167	-30	-30	31	99	99										36	80	39	1									1274	891	1074	1194	1316	1291	109	50	7			2	2	24						1171
V©n Léc Lùc L­îng Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp V©n Léc(8)	1	4	10	0	30	160	160	31	80	80																36	80	39	1									952	871	972	1014	1254	1291	109	50	8			2	2	24						1172
V©n Léc Lùc L­îng Béi	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp V©n Léc(9)	3	4	10	0																						36	80	39	1									951	911	971	1214	1331	1291	109	50	9	1466		2	2	24						1173
V©n Léc Lùc L­îng H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp V©n Léc(10)	4	4	10	0																						36	80	39	1									951	931	971	1174	1331	1291	109	50	10			2	2	24						1174
V©n Léc Kiªn NhÉn H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp V©n Léc(1)	0	4	10	0																						36	80	39	1									951	851	972	1014	994	1291	110	51	1	1468		2	2	24						1175
